,Unnamed: 0,index,choice1,choice2,Full_sentence,right_answer
508,508,508,I apologized and turned it down.,I shut the door and turned it up.,I was listening to music last night.It was a great new song.I didn't realize how loud it was.The neighbors knocked on the door and asked to turn it down.,1
509,509,509,Iris purchased the wine.,Iris purchased a case of beer.,Iris was supposed to bring wine to dinner.She went to the liquor store.She browsed the wine selection.Then she found a great bottle of wine to bring.,1
510,510,510,I was frustrated and scared about their lack of response.,I decided it was their problem and not to worry about it.,"Today was the day that my online project was due.It consisted of a group assignment with three other members.It was my duty to organize an informative powerpoint.When I called them to email me their work, no one responded.",1
511,511,511,Harold left disappointed that his band never showed up.,Harold's feet hurt after the concert.,"Harold wanted to see his favorite band in concert.When they finally came to town, he bought a ticket.He entered the concert hall and found a good place to stand.The band played for three hours.",2
512,512,512,Joe was happy to be having such a good day.,The cashier unhappily obliged.,All of the registers were full at the grocery store.Joe picked the shortest line and waited.When it was his turn he threw all his food on the belt.Joe barked at the cashier to scan his food quickly.,2
513,513,513,John was happy to be at home.,John decided to be a better boss.,John was a terrible boss.The workers decided to depose him.So they filed a complaint.Despite the complaint and following lawsuit John stayed.,2
514,514,514,I decided to get a cat instead.,I found the puppy I wanted and brought her home.,I had always wanted to get a puppy.I finally felt I was ready to adopt one.A friend gave me the name and number for a breeder.I visited her to see the puppies available.,2
515,515,515,I laughed and asked for him to hit me harder.,"Not wanting him to grab the belt back, I ran out of the house.",My mom remarried when I was five.She married an alcoholic who was physically and mentally abusive.He used to make me pick out a belt so that he could whip me.One day I grabbed the belt away from him as he was hitting me.,2
516,516,516,He knew his next bill would be lower.,He loved watching television.,Ray looked at his monthly power bill with anger.He went around his house and began to shut off extra lights.On his second trip around the house he unplugged extra electronics.Ray say in the darkness with satisfaction.,1
517,517,517,Dan bought his boat and spent the whole day sailing.,He spent all of the money on ice cream and pie.,Dan made up his mind that he would buy a boat by the end of the week.He spent the first few days checking out the closest dealerships.After the third day he found one he was interested in.On the fourth day he went to his bank to get a loan.,1
518,518,518,Marge treated Janet to dinner for trying to warn her.,Janet created an imaginary  brother and is institutionalized.,Janet wanted to convince her friend Marge that palm reading is bunk.She agreed to undergo a palm reading with Marge.The palm reader informed Janet that her brother was angry with her.Janet did not have a brother.,1
519,519,519,The restaurant manager apologized and gave her a gift card.,She decided it was a welcome addition and kept eating.,"Stephanie went to her favorite restaurant.She ordered her usual sandwich.She bit into something crunchy and unusual.Upon inspection, she noticed the foot of a mouse in her sandwich.",1
520,520,520,"Afterward,  Bobby and friends were covered in snow.",Their clothing was clean and dry at the end.,"The snow had finally finished falling.Bobby and his friends rushed outdoors to play in it.They made snowmen, snowballs, and sledded.Finally, they decided on an all out snowball war.",1
521,521,521,He was so excited to finally have a drum set.,He decided not to play the drums anymore.,"When Rod was eight he wanted to be a drummer.He would flip his mom's pans over and hit them.His parents had to put all the spoons out of his reach.After Years of wishing, his parents bought him a drum set.",1
522,522,522,Leopold found his iguana under the couch that evening.,Leopold does not miss his iguana.,Leopold's iguana went missing from his cage.Leopold looked everywhere and couldn't find the Iguana.Leopold thought the Iguana must have gotten outside.Leopold put up posters around his neighborhood.,1
523,523,523,I felt glad I won.,It was a learning experience.,I visited Harvard Square in 2004.I watched the chess hustlers play speed chess.I put down $5 and played a game.I played 3 more games and lost $15.,2
524,524,524,She decided to be more careful when she skipped.,She skipped even faster and more recklessly after that.,Sally liked to skip.She skipped everywhere she went.She was skipping down the sidewalk one day.Sally tripped and fell down hard.,1
525,525,525,The man eventually died.,The man felt he could breath much better.,"A man got very tired of being dripped on by his igloo.He built himself a new one out of dry ice.It solved his dripping problem.Unfortunately, dry ice sublimates into carbon dioxide gas.",1
526,526,526,Ava started shaving right away.,Ava was not happy with what her mother said.,Ava had hairy legs.She asked her mom if she could shave them.Ava's mom said she was probably old enough.Ava was so excited!,1
527,527,527,She was disappointed that she never finished.,She was pleased that she sold several copies.,Sasha loved writing from an early age.In her twenties she begins writing a novel and finishes it.Sasha decides to self-publish on amazon.Her book is sold through the kindle marketplace.,2
528,528,528,Agatha found the oven heat was too high.,Agatha found the oven was turned off.,"Agatha loved to bake cookies.One day she put a batch in to bake.However, after twenty minutes, there was no scent of cookies baking.She went to see what had happened.",2
529,529,529,Her son didn't know what she was talking about.,Her son had taken an egg from the ice box and put it in the nest.,"Lacey had a bunch of chickens.One day, she realized one had laid an egg!She was so excited until she realized the egg was cold.She asked her son about it.",2
530,530,530,Tom was very happy to now be surfing quickly.,Tom was glad his cable picture had improved.,Tom didn't know why his internet speed was so slow.He called his cable company but there were no problems.He finally decided to buy a new router.That made a huge difference.,1
531,531,531,Hannah loved the craft project.,Hannah was upset that she didn't get to eat scrambled eggs.,"On Easter, Hannah wanted to dye some eggs with her children.The family sat around the table with the eggs and colors ready.She helped her daughter make a pink and yellow egg.She made herself a light blue egg.",1
532,532,532,John hates Jessie.,Jessie went to prom with John.,"Jessie's friend John handed her a box of candy.She smiled, thanking him as she walked to her next class.Midway through she opened the box for a snack.Inside John had put a note asking her to prom.",2
533,533,533,"He found his cat, but the cat didn't have the shoe.",He looked for his dog and then found his shoe.,Kevin was getting ready to leave for school in the morning.But he couldn't find his sneaker anywhere!He looked everywhere with no luck at all.Then he decided his dog had probably hidden the sneaker.,2
534,534,534,I was relieved when I finally turned the essay in.,I hardly put any effort into writing the essay.,I once had to write an essay about war.I wrote it over the course of 5 days.It was difficult and in detail.It was hard to write about.,1
535,535,535,She then found them online and ordered them.,Amy then purchased them from the store.,Amy saw shoes online she wanted.She went to the local mall but they didn't have them in her size.She went to another mall to find them.They also didn't have them.,1
536,536,536,I suggested he apply to for a cook's position where I worked.,I told him I felt the same way.,"My roommate made fish for dinner last night.Unfortunately, the fish was very bad.Even still, I ate it because he had worked so hard.When I was done, he told me he hated how the meal turned out.",2
537,537,537,Becky and her cousin both had copies of the book.,Her cousin then mailed her the book back.,"Becky's grandmother had promised her a special book.It had been handwritten by her great-grandfather.When Becky's grandmother died, her cousin took the book!Becky was very angry and wrote her cousin a plaintive letter.",2
538,538,538,She gave him a five dollar tip.,She apologized to him.,"Tay ordered a pizza delivered to her house.When it arrived, she reached for her wallet.She saw that she had just enough to pay for it.That left no money to tip the delivery boy!",2
539,539,539,Stevie was mad at his parents.,Stevie was able to buy a new skateboard.,"Stevie wanted a new skateboard but didn't have enough money.He went around the neighborhood asking about odd jobs to do.He made a little bit of money but not enough for his new board.His parents were proud of him, so they pitched in for the rest.",2
540,540,540,Gina stood up and walked home.,She was sad that her friend's hadn't come to see her.,Gina waited outside the office before she had to go inside.She hoped her friends would come to see her before class began.The bell rang and the halls emptied.She went into the office and took a seat waiting to be called.,2
541,541,541,The people were trying to say hello to me.,I did not realize where my briefcase was.,"One Christmas, I received a shiny and expensive-looking briefcase.The next day, I filled my new case and gathered  my things.I set the briefcase on the roof temporarily while I loaded car.While I was driving, people were beeping at me.",2
542,542,542,Martina fell to her knees and began to sob.,Martina was delighted.,Martina was the goalie for her soccer team.They were up tied in the 4th quarter.With the time running out the opposing team stole the ball.The player on the other team kicked and scored.,1
543,543,543,Soon she could walk along while holding on to furniture.,The baby cried because the dog ate her sandwich.,The baby had recently learned to crawl.She could crawl all over the living room floor.One day she crawled to the sofa and pulled herself upright.The next day she managed to pull herself up and stand for a second.,1
544,544,544,Jim was extremely bored.,Jim was glad he didn't have to miss work for jury duty.,Jim was summoned for jury duty.He had to call in to skip work.He arrived at the courtroom.He sat through the entire trial.,1
545,545,545,The supervisor gave him a raise.,The supervisor fired him.,Charles didn't take the advice of not dating girls one works with.He began dating his supervisor.His supervisor got jealous because Charles gave a coworker a ride.Charles' supervisor turned into his enemy.,2
546,546,546,Bill is a huge Broncos fan.,Bill thinks that the Bronco got lucky.,Bill bragged about the Patriots all year.He would make negative posts about other teams on Facebook.He would brag about every win they made.The Broncos beat the Patriots in the playoffs.,2
547,547,547,Nina was unable to control her addictions at all.,Nina was on the road to recovery.,Nina was trying to quit drinking.She decided to join a support group.She went to their meetings every week.In a few weeks she was handling her cravings much better.,2
548,548,548,Paul brought his mistress to the party.,Mary forgave Paul.,Mary was pissed at Paul for forgetting their anniversary.Paul had to think quick.He decided to call his friends to help fix things.They helped him set up an amazing party and invited everyone.,2
549,549,549,Bob picked up all the nice things that his uncle left him.,Bob and his uncle went out for a nice steak.,Bob's uncle passed away a week ago.He got a call on a Monday afternoon from a lawyer.The lawyer told Bob that he had inherited some things.Bob got into his car and drove to the lawyer's office.,1
550,550,550,"At her first gig, she realized she never learned how to play.",She played small venues regularly and became well known.,Deirdra wanted to be a great blues musician.She listened to a lot of work by greats like BB King and Taj Mahal.She bought a guitar and tuned it for blues music.She booked a bar venue and started getting her work out there.,2
551,551,551,I went to the movies.,I began painting the rain.,"It was raining very hard one day.It seemed like a bad idea to go anywhere, so I stayed indoors.I looked for something to do.I decided to set up my painting kit.",2
552,552,552,He enjoyed the weather.,He hated picnics.,"Ted went for a drive one day.He drove all around town and looked at who was out and about.Then, he drove to a more remote place.He stopped, got out of his car, and ate a picnic lunch.",1
553,553,553,Joey loved everything about Disneyland except for Mickey Mouse.,Joey had a great time.,Joey went to Disneyland with his family.He was so excited to meet Mickey Mouse.When he met Mickey Mouse he was so excited he couldn't speak!Joey finally said hi to Mickey and it was great!,2
554,554,554,Gina now knows not to inhale the incense smoke.,Gina was able to breath freely.,Gina's uncle burned incense all day long.Gina liked the scent.She leaned in close and took a big whiff.The smoke made her choke.,1
555,555,555,Samantha looked around and left.,Samantha bagged the poop.,Samantha went to the park in the morning.She went to walk her dog.Her dog pooped on the grass.Samantha forgot to carry a plastic bag.,1
556,556,556,Peter used his two dollars to buy shaving cream.,Peter bought noodles.,"Peter was very hungry.He only had two dollars in his bank account.He decided to go to the grocery store.Luckily, noodles were on sale for less than two dollars.",2
557,557,557,Pam gave up trying to trim Archie's claws.,Pam gave Archie some food in an attempt to calm him down.,Pam tried to trim Archie's claws.She tried holding him all different ways.He didn't want them clipped at all!Finally she thought of something that would work.,2
558,558,558,Larry was bruised after a while.,Larry hated sandwiches.,"Larry spent a long time finding a spot to put up his hammock.He spent even longer actually putting it up.After it was up he tried laying in it.He kept falling out, though.",1
559,559,559,He took his shoes off as soon as he could.,He wore them after school.,Larry bought new shoes last week.He wore them for the first time to school.Unfortunately they weren't broken in and really hurt.He was in pain all day.,1
560,560,560,"At the end of their date, Sue thought Bill was a nice guy.","After their date, Robert and Sue decided to have a second one.",Robert had a crush on Sue.Sue had a crush on Robert.Robert asked Sue on a date.She agreed to go.,2
561,561,561,I drove past the theater and went back home.,I enjoyed the movie very much.,I wanted to do something fun.I found an interesting movie online.I saw that it was playing in a local theatre.I decided to go see it.,2
562,562,562,Teresa was so grateful she gave Miles a kiss right on the spot.,Teresa decided to sell the pandas Miles gave her.,"Miles knew his girlfriend, Teresa, loved pandas.He devised a plan to give her the perfect birthday gift.He spent his whole week making stuffed pandas for her.When her birthday came, he gave them to her.",1
563,563,563,Bob drove home right after he made it to his parent's house.,"With the bumper in his trunk, Bob made it to his parent's house.",Bob had to drive to his parents house to make it home for Thanksgiving.There was a huge snowstorm brewing.Bob ran into a pile of snow on the highway.The front bumper came off on his car.,2
564,564,564,John told her to stay away from him.,John then left and felt decent about himself.,"John was trying to hail a taxi in the rain.He was going home to his girlfriend for Valentine's Day.When he looked over, he saw his ex waiting for a cab as well.Although he couldn't stand her, he agreed to share a cab.",2
565,565,565,Billy failed the test.,Billy passed the test.,"Billy really needed help with his test.He fretted all night that he wouldn't pass.He went to school early and his friend Ash helped him.When he got the test, he knew all the answers.",2
566,566,566,The sink was not repaired.,Finally the sink was repaired.,A plumber was called over to fix a leaky sink.He took out his tools and got to work.The problem was that two pipes did not fit together perfectly.The plumber replaced one of the old pipes with a newer pipe that fit.,2
567,567,567,Mary decided to take her husband to the game again next week.,Mary decided never to take her husband anywhere again.,"Mary decided to take her husband to a football game.When they arrived to the front, they gave their tickets away.They sat in the second to last row in the front.Although their favorite team was losing, they had a good time.",1
568,568,568,Nathaniel was given up for adoption shortly after.,Nathaniel thrived and went on to a good university.,"Nathaniel was an exceptionally bright child but he hated to sit still.His mother was nervous that he would struggle in public school.After a great deal of thought, she decided to teach him at home.In this environment he could be himself and also get a good education.",2
569,569,569,He went to the store and found a bag that worked properly.,He used both of them all the time since they fit.,Earl needed to buy plastic bags to put his lunch snack in.There were too many sizes of bags for him to decide between.Earl just picked the biggest bag and the smallest bag to be safe.He found out that the big bag was way to big and the small too small.,1
570,570,570,John's parents were quite ashamed of him.,John's parents were very proud of him.,It was graduation night for John.His parents traveled the night before to see him walk the stage.John waited patiently for his name to be called.The counsellor of his University called name and handed him his degree.,2
571,571,571,Jane was relieved.,Jane was disappointed.,Jane purchase a backpack online for her teenage nephew.She was pleased to see how excited he was when she gave it to him.He hurriedly ripped the plastic wrap off the backpack.When he tried it on it was too small.,2
572,572,572,Mike hates water skiing.,Water skiing is Mike's favorite activity.,Mike would try every year to water ski.It was always hard for him.Then he committed to getting stronger.He was then able to easily do it,2
573,573,573,Ally's dog was worn out for the rest of the night.,Ally was upset with the vet for removing the spines.,Ally's dog met a porcupine.The dog ended up with spines in her face.Ally had to take the dog to the vet.The vet pulled each and every spine out of the dog's face.,1
574,574,574,Perry was a vegetarian.,Perry was placated.,Perry was at a restaurant over the weekend.He ordered a semi rare steak.When he got it he complained that it was too salty.They sent it back and gave him a new steak.,2
575,575,575,Ellie did not like to do things on her own.,Ellie was very independent.,"Ellie went to her first concert when she was 18.She went by herself, because no one else shared her taste in music.She stood at the very front of the stage, and danced to the songs.She clapped loudly until the band came back for an encore.",2
576,576,576,But Jill's mother was grateful anyway.,Jill's mother told her she was worthless.,"It was Mother's Day and Jill wanted to do something special for her mom.She got up early so she could fix her mom breakfast.Everything started off well, with toast and pancakes.Unfortunately she burned the toast to a crisp.",1
577,577,577,Unicorn videos were Tracy's favorite.,They gave the book to her dad for father's day.,"Tracy made up a story about a unicorn for her daughter.Her daughter laughed when Tracy told the story.Her daughter wanted to write the story down in a book.Tracy helped her write it down, and she drew illustrations.",2
578,578,578,Gina checkout a book about dolphins.,Gina went home without checking out a book.,Gina was at the library at school.She wanted to find books about dolphins.She looked on the shelf where she thought they would be.But there were no books about dolphins.,2
579,579,579,Charles was a very reckless careless person.,He broke his rules and drove her home.,"Ever since junior college, Charles has been following rules.He never drinks and drives.But he met a girl in a bar yesterday and she wanted to drink with him.Then she wanted to go back to his apartment.",2
580,580,580,I have decided that I will never overeat on pizza day again.,I kept eating pizza until I felt better.,Pizza is my favorite food.We have pizza day at school every month.Pizza day is a day where we eat all sorts of pizza.I ate so much pizza on pizza day I felt sick.,1
581,581,581,Mac was disappointed with his tie choice.,Mac's tie looked great and everyone gave him compliments.,Mac needed a new tie.He went to the mall.He shopped until he found the perfect tie.He took it home and tried it on.,2
582,582,582,I planned to visit Brock at his new job in London.,"Then, Brock asked me to go to Japan with him.","About ten Year's ago I fell in love with a gorgeous man named Brock.We saw each other every days for 6 months.The love of my life told me he was moving to Japan for a promotion.I was happy for him, and yet sad for my broken heart.",2
583,583,583,Anna's nightmares got much worse.,Anna slept much better.,Anna had been having nightmares.Her dad put a nightlight in her room.He left it burning all night.Anna felt comforted knowing the light was always on.,2
584,584,584,Charlotte did a great job of keeping her promise.,She worried that her mother would be upset.,Charlotte was about to board a plane to the United States.She was about to embark on 10 month journey as an exchange student.She had promised her mom not to fall in love with an American.But when she met Shane it was love at first sight.,2
585,585,585,She was thrilled.,She never had George over for dinner again.,"Today was Lara's birthday!Her boyfriend, George came over to her house and cooked dinner.They watched a movie together and cuddled on the couch.After the movie, George gave her a silver necklace.",1
586,586,586,Kevin and John go out to eat.,Kevin later died in the hospital.,John argued with Kevin.Kevin owed John some money and refused to pay it back.The argument was intense and led to blows.John pulled out a gun and shot Kevin in the stomach.,2
587,587,587,Dylan spent the money on socks.,Dylan was able to purchase his new video game.,Dylan wanted to buy a new video game.Dylan asked his mom so she said no.Dylan decided to do some extra cores and earn allowance.Dylan worked hard and on Friday his mom gave him allowance.,2
588,588,588,Andrew changed his mind and spent months at the summer house.,"Andrew was sad, but the money was needed.",Andrew owns a summer house.He goes there every year.This year he lost his job.He has to sell his summer house.,2
589,589,589,Jim wished it was summer time.,Jim headed to the store to buy a sled.,Jim had never seen snow before.He had just moved to Indiana a couple week ago.When he woke up and saw snow he was amazed.He wanted to go sled on the biggest hill in town.,2
590,590,590,Lou was happy a subscriber recognized him.,Lou hated the mall.,Lou decided to make a youtube channel.He posted daily video logs of his life.His fan base was growing quickly.Lou was out at the mall and was recognized by a subscriber.,1
591,591,591,"By the time they got to the training, they felt like friends.",Carol asked Dan to buy her a box of Kleenex.,"Dan and Carol met as manager trainees at a fast food restaurant.They were sent to further training in a town three hours away.They decided to drive together to save on costs.Talking in the car for hours each way, they got to know each other.",1
592,592,592,He was happy with the new cleaners.,He requested to have his money refunded from them.,Rob needed some suits cleaned.He went to a new cleaner that opened near his house.It was a bit pricey but he hoped they would do a good job.A few days later he got his clothes back still dirty.,2
593,593,593,Travis was proud of himself.,Travis was kicked out of the Marines.,Travis enlisted in the Marines with dreams of serving  his country.He was sent to a train at a base on the opposite side of the nation.Travis missed his family and friends but could not contact them.He became depressed and started making poor choices.,2
594,594,594,I was pleased with my concoction.,It needed more sugar!,"I wanted to make hot chocolate.I took milk and warmed it up.Then, I added cocoa powder and stirred it all up.I tasted it, but it was terrible!",2
595,595,595,I couldn't wait to see some movies in the new theaters.,I was very disappointed to see that that restaurant had closed.,There was this amazing salad buffet right by my house.They have the best salads with the most varieties and the best prices.I used to go there almost every day on my lunch break.I found out last week that they shut down for good.,2
596,596,596,I urged my aunt and mom that there was an emergency.,I left home to play with my cousin's dog.,"When I was young, I approached my cousin's dog and it bit my forearm.The bite broke the skin and I was bleeding and ran to my aunt and mom.When I tried to say what happened, they told me not to interrupt.I waited patiently, holding my arm and bleeding.",1
597,597,597,Ben decided to keep the chair instead.,"Later that day, Ben sold his chair for $50.",Ben wanted to sell his rocking chair.He had it for 20 Years.He dusted it off and put a for sale sign on it.He placed it in his yard so people would see.,2
598,598,598,He got a great job and lived a happy life.,"After graduation, he was only able to get a job at McDonalds.",John attended technical school and studied very hard.He got high marks on his final exams.John graduated first in his class!He received numerous letters of recommendation from his teachers.,1
599,599,599,He decided to take a cab and go home.,He danced with joy at the fun night he was having.,Lance was trying to pick up girls at the club.He offered a couple drinks.Only one agreed but didn't pursue it further.Eventually he got drunk and frustrated.,1
600,600,600,Lucy was very happy to start ballet.,Lucy was very angry she had to start ballet.,Lucy's mom took her to see her first ballet at a young age.She decided at that moment she wanted to be a ballerina.She begged her mom to let her take lessons.Lucy was enrolled in her first class the following month.,1
601,601,601,Amy's shorts were uncomfortable.,Amy's shorts were very comfortable.,Amy's shorts for her volleyball uniform were too small.She had a hard time moving in them.She asked the coach for another pair.There were no more.,1
602,602,602,I was very proud of myself.,I was so embarrassed after the kiss.,Last night was spent facedown on the bar.I was having a wonderful time until the tenth shot.That was about the time I realized I drank too much.I dance with a man's wife and I kiss his mom.,2
603,603,603,There were many different pieces missing.,They threw the game in the air.,Last week's family game night was intense.We were playing Monopoly and nobody made any headway for hours.Everyone was trying their hardest to win and the game kept going.It wasn't until we finally decided to check the rules that we knew why,1
604,604,604,The woman decided she would shop there again in the future.,The salesman regretted being such a cad.,"A woman went shopping for a power drill.The salesman at the hardware store smelled blood.He was unctuous and condescending.Disgusted, the woman left the store.",2
605,605,605,She sent him a text asking if he wanted to see a movie.,She left him a very angry voicemail.,"Nancy just came home from work.She grabbed her phone after it vibrated.She received a message from her boyfriend, who asked her to break-up.When she called him, he didn't pick up his phone.",2
606,606,606,Joey holds the football every time he watches a Chiefs game.,Joey hates football.,"Joey loves watching the Kansas City Chiefs.He went to a game this year and met Andy Reid, the head coach.Joey got his autograph on a football.When he came home he told all of his friends.",1
607,607,607,The cat was grateful.,Valerie hated the cat.,Valerie found a cat outside the restaurant she worked in.He was so thin and hungry.Val took him home and fed him.She gave him a lot of love and care.,1
608,608,608,Audrey was happy with her first day of school.,Audrey wished she had made friend that day at school.,"When Audrey was a little girl she was excited to start school.As the youngest, all her siblings started school before her.On her first day of school she was so excited to meet her teacher.When she came home she told her mom all about her new friends.",1
609,609,609,I then woke up and went for a jog.,I then went to sleep feeling happy about my life.,"My day on Sunday this week went as expected.My family and I attended Church from 8 to 11 in the morning.Afterwards, we went to eat dinner at a restaurant.The rest of my day was spent doing homework assignments.",2
610,610,610,Tara bought a bulb.,Tara got an ice cream.,Tara was watching the baseball game.Her TV started to flicker.The bulb in her television needed to be replaced.Tara drove down to her local electronics store.,1
611,611,611,George then felt too hot so he needed to cool off.,He realized that his hot water ran out.,"George was taking a hot shower.Suddenly, the water became very cold.George quickly jumped out of the shower.Shivering, he used a towel to dry off.",2
612,612,612,John decided to try again and work passed the crows.,John then captured the crows as pets.,John planted a garden last spring.He tilled the soil.The tomato plants began to produce.But crows devoured John's harvest.,1
613,613,613,Cory's watch was on her wrist.,But the watch was gone forever.,Cory couldn't find her watch.She was wearing it yesterday.She couldn't remember anything about the watch since then.She looked everywhere.,2
614,614,614,Adam ran from the group of boys as fast as he could.,Adam played frisbee with them.,Adam went to the park.There he ran into a few of his friends.They invited Adam to play frisbee with them.Adam agreed.,2
615,615,615,Braden got hired to the modelling job.,Braden called back saying he didn't want the job anymore.,Braden wanted to be a male model.He sent in some photos to an agency.Soon he got a call from them.Braden was ecstatic to hear they liked his pictures.,1
616,616,616,The janitor was annoyed when Tom tracked mud on the clean floor.,Everyone complimented him on his clean shoes.,Tom and his friends went hiking.But he only had one pair of shoes.They got very muddy and dirty.And he had to wear them to school the next day.,1
617,617,617,Irene was too angry to attend the performance of the play.,Irene felt proud seeing her costumes on stage.,"Irene was taking part in the school play.She wanted to be an actress but she did not get any roles.So the director offered to let her design costumes.Irene accepted, and found that she loved the work!",2
618,618,618,I could see fish swimming in the coral reef.,I couldn't see the shark that attacked me in the ocean.,We went to Hawaii this summer.I was so excited to go.The island was beautiful.I have never seen such a clear ocean.,1
619,619,619,Gina broke into a song.,Maybe Tami wouldn't be her friend anymore.,"Gina got on the bus and watched the door for her friend Tami.She hoped they would walk to the bus together, but they hadn't.Tami had stayed and was talking to the girls who no longer liked Gina.And this worried Gina.",2
620,620,620,Gina decided she liked it as much as the first one.,Gina knew every word and sang along.,Gina popped her new CD Single into her boombox.The first song was the one she liked.The second was a mystery to her.She listened to the second one first.,1
621,621,621,Lee's arm started to bleed where the tick had been.,Lee was disappointed in himself.,"Lee was hiking in the woods all day.When he came home, he felt a weird itch on his arm.Looking down, he saw a tick stuck to his forearm!Lee quickly pulled it off of him.",1
622,622,622,The water in Tim's town was the cleanest in the country.,Lots of people got sick.,One day when Tim turned on the faucet's water was brown.This was happening all over the city.It went on for over a year before the national media took notice.By then it was too late.,2
623,623,623,The crowd cheered.,The crowd booed.,"Joel inhaled deeply as his part in the jazz concert approached.He began to play his saxophone, concentrating as hard as he could.Joel managed to make it through his part without any mistakes.He looked up into the crowd.",1
624,624,624,Arthur died in the fire.,Arthur was proud of what he had done.,Arthur fell asleep while smoking one night.The cigarette but was still lit and fell on the floor.It rolled to the curtains and caught them on fire.Eventually his whole house burned down.,1
625,625,625,Kim had a big bite of her burger.,Kim decided to only eat the meatless parts of the meals.,"Kim decided she wanted to become a vegetarian.She Was only 13, but she knew it was the right thing to do.Except her mother refused to stop cooking meat.She also refused to cook something special just for Kim each meal.",2
626,626,626,John played to the best of his ability.,John sat down on the bench.,John was much shorter than his teammates on the basketball team.He hardly got any playing time.Two players were injured during the playoff game.He finally got off the bench.,1
627,627,627,Aaron then cooked the swan on his stove.,Aaron saved the swan's life.,Aaron was walking by a lake when he saw a swan.He realized that the swan was injured.Aaron used bread to lure the swan to shore.He then picked it up and took it to the hospital.,2
628,628,628,Jim didn't have any blood drawn.,Jim felt proud.,Jim's school was having a blood drive.Jim decided to volunteer.A nurse pricked Jim in the arm.The entire process took an hour.,2
629,629,629,Maddie wondered how Max would react to her two dads.,Maddie couldn't wait for Max to meet her family.,Max had been dating Maddie for three Year's.He had never met her family.He felt very suspicious and told Maddie he wanted to meet them.Maddie was worried because she had a secret.,1
630,630,630,I met up with another friend and we enjoyed ourselves.,I cried alone in my room.,"My friend texted me, wanting to hang out Friday night.I wanted to take her out for dinner.When I tried to contact her on Friday, I got no reply.Despite the change of plans, everything turned out great.",1
631,631,631,"Disgusted, she left.",She leaned over and kissed him.,"Amy and Ben were young, and in love.They were sitting on the swings in the park together.Ben reached over and grabbed her hand.She was surprised and pleased.",2
632,632,632,But my dog went and got it.,I was happy.,I went to the park to play frisbee with my dog.I tossed the frisbee to my dog and he would catch it in his mouth.I accidentally threw the frisbee too far.The frisbee landed into the pond.,1
633,633,633,She had won the drawing and the turkey was hers.,She was evicted from her apartment.,"Ivy needed a way to feed her family on Thanksgiving.She entered into her local grocery store's raffle for a turkey.She submitted her receipts every week with her phone number on them.A week before Thanksgiving, Ivy got a happy phone call.",1
634,634,634,Their business failed.,Their business became a success.,Mark and Andy worked at a pizzeria.They both loved to make pizza.One day they decided to open up their own pizzeria.The pizzeria became very busy and profitable.,2
635,635,635,The kitten started eating all his cat food.,I was sad my kitten was so ill.,"I rescued a kitten from the pound.He was adorable, sweet, purebred and free.The first morning he started acting ill, not eating and listless.The vet ran a myriad of tests and found several things wrong.",2
636,636,636,Jim was happy.,Jim ended up in the hospital.,It was a cold winter night.The roads were slippery.Jim was driving home from work.He lost control of his truck.,2
637,637,637,James's cat started getting better shortly after.,James gave up his cat for adoption.,James noticed his cat's belly was getting way too big.He took his cat to the vet.The vet told him that his cat had tapeworm.James got tapeworm medication from his drugstore shortly afterwards.,1
638,638,638,Trisha made the child sleep on the kitchen floor with  a blanket.,Trisha let the children decorate the  tree with popcorn.,Trisha's son got sick last night at eight.He vomited all over her and the floor.Trisha cleaned up and changed his clothes.He continued to be sick over and over again.,1
639,639,639,Buttons was the happiest canary anyone had ever known.,Even the neighborhood dogs stay out of Buttons' way.,Buttons is a black cat with a lot of soul.He always struts around like he owns the place.Even strangers admire his tenacity.As though he was a lion in a past life.,2
640,640,640,Pat called her parents on the phone.,Pat never talked to that girl again.,"Yesterday, Pat was on a hiking trip with her girl scout troop.While they were eating lunch, her friends were playing around.One of the girls grabbed her phone and threw it into the lake.The girl was reprimanded for her action, but Pat never found her phone.",2
641,641,641,They storm passed without any flooding.,They were not worried about flooding.,Rainy fell upon the streets in gentle waves.Matt watched from inside his house as water rose.He was afraid that the area around his house may flood.He and his family began moving things upstairs in case.,1
642,642,642,He called his neighbor and asked him to remove the spider.,Max made the spider his pet and grew quite fond of it.,Max is arachnophobic.One day max spotted a palm-sized spider on his wall.Max got real nervous and didn't want to squash it.He started brainstorming ways to get rid of it without.,1
643,643,643,Kyle refused to trade sandwiches with his friend.,He was happy that his friend agreed to the swap.,Kyle hated the bologna sandwich his mom had given him for lunch.He looked around to see what his friends had.His best friend had peanut butter and jelly!Kyle asked if they could trade.,2
644,644,644,Everyone agreed that Kenny had won the fight.,All of the children called Kenny a chicken the next day.,Kenny and Spencer never got along in class.They decided to have a boxing match after to settle things.They were supposed to meet by the swings but Kenny didn't show up.He chickened out at the last minute.,2
645,645,645,Fred brought the ice to the barbecue.,Fred was sad no one had ice for their drinks at the barbecue.,Fred needed some ice for a barbecue.He went to the store and pulled out several bags from the freezer.He went to the counter and paid for the ice.The attendant helped him carry them to his car.,1
646,646,646,Jack decided to jump again because it felt great.,Jack's foot hurt horribly and he decided to be more careful.,Jack loved to jump around.He was just a little kid that loved to jump.One day he jumped one too many times.And landed on a lego piece.,2
